Initialization done! Doing GP now...
gen	evals	std                                                     	min             	avg                                                          	max                                                     
0  	1400 	[0.13096731 8.37607428 5.40031726 4.90437742 6.84671767]	[0. 2. 1. 0. 0.]	[ 0.19339844 16.03714286 10.34142857  8.565      10.64      ]	[ 0.5663538 30.        25.        23.        35.       ]
1  	1400 	[0.15133576 6.73639763 4.35330041 3.89396439 5.10925451]	[0. 2. 1. 0. 0.]	[ 0.21960833 10.84571429  6.98571429  5.53642857  6.64571429]	[ 0.5749435 30.        24.        22.        28.       ]
2  	1400 	[0.15797016 6.58051852 4.27129742 3.79263781 4.88422988]	[0. 2. 1. 0. 0.]	[0.24412968 8.92214286 5.72428571 4.34357143 5.10357143]     	[ 0.58153655 30.         24.         22.         28.        ]
3  	1394 	[0.17428004 6.46784685 4.23684465 3.78438514 4.74450724]	[0. 2. 1. 0. 0.]	[0.23614644 7.29       4.69785714 3.40071429 3.74714286]     	[ 0.58153655 30.         24.         22.         28.        ]
4  	1392 	[0.18468929 6.55417763 4.30913831 3.8270722  4.87781818]	[0. 2. 1. 0. 0.]	[0.2396895  6.60642857 4.28642857 3.04571429 3.03428571]     	[ 0.59638938 30.         24.         22.         29.        ]
5  	1366 	[0.20244114 6.59425689 4.25899672 3.69391384 4.84340068]	[0. 2. 1. 0. 0.]	[0.20507815 5.74214286 3.77428571 2.67928571 2.24357143]     	[ 0.59638938 30.         22.         21.         29.        ]
6  	1330 	[0.20016997 4.76920345 3.02469352 2.67264105 3.23571775]	[0. 2. 1. 0. 0.]	[0.18251378 4.07357143 2.64071429 1.66428571 1.13142857]     	[ 0.59638938 30.         20.         18.         26.        ]
7  	1277 	[0.19582931 3.85299142 2.50031335 2.23900443 2.59608958]	[0. 2. 1. 0. 0.]	[0.19835775 3.54       2.16214286 1.09857143 0.76785714]     	[ 0.59638938 29.         19.         16.         26.        ]
8  	1195 	[0.1909767  3.33379227 2.16456611 1.94128087 2.22219968]	[0. 2. 1. 0. 0.]	[0.21318795 3.11071429 1.865      0.8        0.52      ]     	[ 0.59638938 29.         19.         16.         26.        ]
9  	1124 	[0.18296388 3.30412536 2.14118685 1.95408716 2.16445296]	[0. 2. 1. 0. 0.]	[0.25707605 3.14357143 1.81785714 0.71071429 0.52928571]     	[ 0.59638938 29.         19.         17.         26.        ]
10 	1075 	[0.17012097 2.9562994  1.91924252 1.76717866 1.87468365]	[0. 2. 1. 0. 0.]	[0.28253705 3.01714286 1.66714286 0.55285714 0.43571429]     	[ 0.74502645 29.         19.         17.         25.        ]
11 	1035 	[0.13176906 2.89672581 1.90304536 1.76042608 1.73230942]	[0. 2. 1. 0. 0.]	[0.32751024 3.04285714 1.66428571 0.53       0.38428571]     	[ 0.74502645 29.         19.         17.         21.        ]
12 	1054 	[0.07559199 2.1236011  1.39795313 1.25606772 1.25036954]	[0.20412415 2.         1.         0.         0.        ]	[0.36340618 2.83428571 1.50357143 0.40285714 0.26214286]     	[ 0.74502645 29.         19.         16.         21.        ]
13 	1030 	[0.07685046 2.02446453 1.37279025 1.23442935 1.30008712]	[0.20412415 2.         1.         0.         0.        ]	[0.35996812 2.68928571 1.37571429 0.31357143 0.23857143]     	[ 0.74502645 29.         19.         16.         22.        ]
14 	981  	[0.06814584 1.50133002 1.04978035 0.95941734 1.03391074]	[0.20412415 2.         1.         0.         0.        ]	[0.36889592 2.51714286 1.28428571 0.22571429 0.14      ]     	[ 0.74502645 29.         19.         16.         22.        ]
15 	963  	[0.06087437 1.54585935 1.07792104 0.99241383 1.05149456]	[0.28867513 2.         1.         0.         0.        ]	[0.37977412 2.48214286 1.29071429 0.23928571 0.15142857]     	[ 0.74502645 29.         19.         16.         22.        ]
16 	950  	[0.06150684 1.42905063 0.97459332 0.92085143 1.03353934]	[0.28867513 2.         1.         0.         0.        ]	[0.37722423 2.39       1.195      0.19428571 0.135     ]     	[ 0.74502645 29.         19.         16.         22.        ]
17 	903  	[0.05864945 0.95990407 0.65334266 0.65763918 0.69412954]	[0.28867513 2.         1.         0.         0.        ]	[0.37774983 2.29642857 1.12928571 0.135      0.05642857]     	[ 0.74502645 22.         16.         14.         22.        ]
18 	878  	[0.05417048 0.96473508 0.65999961 0.66669456 0.69856851]	[0.28867513 2.         1.         0.         0.        ]	[0.38598069 2.32071429 1.13928571 0.14571429 0.05857143]     	[ 0.74502645 22.         16.         14.         22.        ]
19 	898  	[0.04681014 0.97089376 0.66649249 0.67442946 0.70297291]	[0.28867513 2.         1.         0.         0.        ]	[0.39555319 2.35285714 1.15142857 0.15857143 0.06071429]     	[ 0.74502645 22.         16.         14.         22.        ]
20 	928  	[0.03769854 0.97417443 0.66944997 0.67729203 0.70297291]	[0.28867513 2.         1.         0.         0.        ]	[0.40326076 2.37642857 1.15714286 0.16428571 0.06071429]     	[ 0.74502645 22.         16.         14.         22.        ]
21 	938  	[0.02138028 0.97709247 0.67833793 0.6910861  0.71541874]	[0.40821258 2.         1.         0.         0.        ]	[0.4121773  2.40214286 1.17071429 0.18       0.06785714]     	[ 0.74502645 22.         16.         14.         22.        ]
22 	912  	[0.02167647 0.96952939 0.6854728  0.69791965 0.72011868]	[0.40821258 2.         1.         0.         0.        ]	[0.41250649 2.35357143 1.18357143 0.19285714 0.07071429]     	[ 0.74502645 22.         16.         14.         22.        ]
23 	903  	[0.02185806 0.96048431 0.69063377 0.70546554 0.72421104]	[0.40821258 2.         1.         0.         0.        ]	[0.41280563 2.30642857 1.195      0.20571429 0.07428571]     	[ 0.74502645 22.         16.         14.         22.        ]
24 	881  	[0.02168599 0.94969356 0.69446647 0.69731848 0.71224709]	[0.40821258 2.         1.         0.         0.        ]	[0.4127294  2.265      1.20142857 0.20571429 0.06428571]     	[ 0.74502645 22.         16.         14.         22.        ]
