Initialization done! Doing GP now...
gen	evals	std                                                     	min             	avg                                                          	max                                                          
0  	1400 	[0.12881295 8.26702461 5.36495502 4.8133835  6.97083278]	[0. 2. 1. 0. 0.]	[ 0.18363038 16.02428571 10.31071429  8.575      10.82785714]	[ 0.64624786 30.         24.         22.         40.        ]
1  	1400 	[0.14938196 7.69683463 4.99420051 4.38368025 6.1987772 ]	[0. 2. 1. 0. 0.]	[ 0.2296274  12.01285714  7.71571429  6.19214286  7.82428571]	[ 0.64624786 30.         23.         22.         40.        ]
2  	1399 	[0.1600348  6.97267261 4.54411461 4.00429132 5.65429221]	[0. 2. 1. 0. 0.]	[0.24342105 9.45714286 6.07285714 4.73285714 5.85714286]     	[ 0.64624786 30.         23.         21.         35.        ]
3  	1393 	[0.15918325 6.6951824  4.42058491 3.95735018 5.54869864]	[0. 2. 1. 0. 0.]	[0.26161774 8.44428571 5.40071429 4.12285714 4.85928571]     	[ 0.64624786 30.         23.         21.         35.        ]
4  	1396 	[0.17620621 6.45090466 4.24788927 3.83486263 5.36496496]	[0. 2. 1. 0. 0.]	[0.23629807 6.68928571 4.29714286 3.18       3.50285714]     	[ 0.64624786 30.         23.         21.         35.        ]
5  	1379 	[0.19611186 6.72292146 4.41040924 3.95535023 5.57887044]	[0. 2. 1. 0. 0.]	[0.20945688 5.98642857 3.89785714 2.89214286 2.80785714]     	[ 0.64624786 30.         23.         21.         35.        ]
6  	1356 	[0.19996383 5.54784091 3.59064196 3.19260234 4.26097526]	[0. 2. 1. 0. 0.]	[0.17237354 4.49428571 2.95214286 2.04785714 1.64571429]     	[ 0.64624786 30.         22.         18.         27.        ]
7  	1293 	[0.19612625 4.2135592  2.81183496 2.54861297 3.33982616]	[0. 2. 1. 0. 0.]	[0.17728443 3.64214286 2.25357143 1.29928571 1.03571429]     	[ 0.64624786 30.         21.         18.         25.        ]
8  	1206 	[0.19013441 3.06647973 2.03244299 1.83944521 2.29122539]	[0. 2. 1. 0. 0.]	[0.19824952 3.11142857 1.80571429 0.80357143 0.62071429]     	[ 0.64624786 30.         21.         18.         23.        ]
9  	1150 	[0.17791193 2.84161414 1.85174697 1.69226994 2.13837042]	[0. 2. 1. 0. 0.]	[0.24640549 3.04071429 1.73214286 0.63285714 0.54071429]     	[ 0.64624786 30.         21.         19.         23.        ]
10 	1099 	[0.16832941 2.81765571 1.85866696 1.6732516  2.12629744]	[0. 2. 1. 0. 0.]	[0.27815268 3.02857143 1.65       0.54071429 0.54142857]     	[ 0.64624786 30.         21.         19.         23.        ]
11 	1058 	[0.14143899 2.31922357 1.55652085 1.4004919  1.73544663]	[0. 2. 1. 0. 0.]	[0.31025395 2.88142857 1.51       0.40714286 0.365     ]     	[ 0.64624786 30.         21.         19.         23.        ]
12 	1050 	[0.0762244  2.28952851 1.52991913 1.39164783 1.6991473 ]	[0.19533992 2.         1.         0.         0.        ]	[0.36007686 2.93857143 1.52785714 0.42142857 0.36357143]     	[ 0.64624786 30.         21.         19.         23.        ]
13 	1046 	[0.07770603 2.37799264 1.56214645 1.40592841 1.71622494]	[0.20412415 2.         1.         0.         0.        ]	[0.35992502 2.88285714 1.42642857 0.36714286 0.37928571]     	[ 0.64624786 30.         21.         19.         23.        ]
14 	1017 	[0.07347033 1.84694991 1.18653672 1.0868319  1.2554207 ]	[0.20412415 2.         1.         0.         0.        ]	[0.36100294 2.64214286 1.26857143 0.235      0.20785714]     	[ 0.64624786 30.         20.         19.         20.        ]
