gen,evals,avg,std,min,max
0,20,[0.32568081 3.         2.25       1.35       2.6       ],[0.20196924 1.         0.94207218 0.72629195 2.17715411],[0. 2. 1. 0. 0.],[0.59261984 5.         4.         3.         8.        ]
1,20,[0.38166141 2.75       2.         1.1        2.        ],[0.1944565  0.88741197 0.83666003 0.76811457 1.84390889],[0. 2. 1. 0. 0.],[0.65836382 5.         4.         3.         6.        ]
2,20,[0.39008251 2.65       1.95       0.9        1.65      ],[0.25112072 0.85293611 0.80467385 0.6244998  1.9045997 ],[0. 2. 1. 0. 0.],[0.70710678 5.         4.         2.         6.        ]
3,20,[0.48557376 2.55       1.8        0.55       1.35      ],[0.23106176 0.73993243 0.74833148 0.49749372 1.55804365],[0. 2. 1. 0. 0.],[0.70710678 4.         3.         1.         6.        ]
4,20,[0.48022846 2.35       1.85       0.4        0.9       ],[0.25498741 0.57227616 0.85293611 0.48989795 1.3       ],[0. 2. 1. 0. 0.],[0.70710678 4.         4.         1.         4.        ]
5,19,[0.46571352 2.15       1.6        0.35       0.75      ],[0.24860868 0.35707142 0.73484692 0.4769696  1.40978722],[0. 2. 1. 0. 0.],[0.70710678 3.         3.         1.         4.        ]
6,19,[0.58945721 2.2        1.75       0.4        0.85      ],[0.11173879 0.4        0.698212   0.48989795 1.38834434],[0.35355339 2.         1.         0.         0.        ],[0.70710678 3.         3.         1.         4.        ]
7,19,[0.60713488 2.25       1.8        0.35       0.65      ],[0.10041214 0.4330127  0.74833148 0.4769696  1.19478031],[0.5 2.  1.  0.  0. ],[0.70710678 3.         3.         1.         4.        ]
8,18,[0.62394441 2.25       1.8        0.35       0.5       ],[0.10817076 0.4330127  0.81240384 0.57227616 1.20415946],[0.5 2.  1.  0.  0. ],[0.82468207 3.         3.         2.         4.        ]
9,18,[0.65085351 2.3        1.9        0.35       0.3       ],[0.10195456 0.45825757 0.83066239 0.57227616 0.9       ],[0.5 2.  1.  0.  0. ],[0.82468207 3.         3.         2.         4.        ]
